SimulationTime,WallTime,Ek
0.0,0.0,1e-06
0.1,0.03509998321533203,0.0029929718794951196
0.2,0.058716535568237305,0.0068538336648664225
0.30000000000000004,0.08433103561401367,0.009840424428500203
0.4,0.11048555374145508,0.012087142528806664
0.5,0.13706374168395996,0.013835871782385415
0.6000000000000001,0.16057515144348145,0.015250376092865035
0.7000000000000001,0.18323564529418945,0.016430991901011174
0.8,0.20939397811889648,0.017439883290950323
0.9,0.23498821258544922,0.018317206706495916
1.0,0.2606217861175537,0.01909021524653893
1.1,0.28622913360595703,0.019778303050920737
1.2000000000000002,0.31223630905151367,0.02039584911781642
1.3,0.3388082981109619,0.020953875553467335
1.4000000000000001,0.3644242286682129,0.02146105605123796
1.5,0.39004993438720703,0.021924357665056956
1.6,0.4161875247955322,0.02234946766724516
1.7000000000000002,0.44180893898010254,0.022741089008468173
1.8,0.467393159866333,0.023103151942684405
1.9000000000000001,0.4930145740509033,0.023438970006597077
2.0,0.5187380313873291,0.023751357763137707
2.1,0.5447475910186768,0.02404272145770698
2.2,0.5698680877685547,0.02431512989470821
2.3000000000000003,0.595937967300415,0.024570371659231805
2.4000000000000004,0.6210873126983643,0.02480999969293423
2.5,0.6467139720916748,0.02503536866072157
2.6,0.6712911128997803,0.025247665335087086
2.7,0.698481559753418,0.02544793374994649
2.8000000000000003,0.7236928939819336,0.025637096160378625
2.9000000000000004,0.7497293949127197,0.025815970601690226
3.0,0.7758848667144775,0.025985285665338084
3.1,0.8015055656433105,0.02614569297836154
3.2,0.826085090637207,0.0262977777745318
3.3000000000000003,0.8527073860168457,0.026442067870389056
3.4000000000000004,0.8778738975524902,0.02657904130138678
3.5,0.9040029048919678,0.02670913282802301
3.6,0.9296393394470215,0.026832739485924507
3.7,0.955270528793335,0.0269502253250656
3.8000000000000003,0.98085618019104,0.027061925459983687
3.9000000000000004,1.0058352947235107,0.027168149533770482
4.0,1.031407356262207,0.027269184682863094
4.1000000000000005,1.0566215515136719,0.027365298076547525
4.2,1.0829243659973145,0.02745673909409977
4.3,1.1080749034881592,0.027543741193227708
4.4,1.1336686611175537,0.027626523515629445
4.5,1.1593017578125,0.027705292268808638
4.6000000000000005,1.1849212646484375,0.027780241917589203
4.7,1.2110662460327148,0.02785155621389681
4.800000000000001,1.2366487979888916,0.027919409089195935
4.9,1.261749029159546,0.027983965430384557
5.0,1.2873680591583252,0.028045381756869676
5.1000000000000005,1.3125174045562744,0.028103806813901885
5.2,1.3391211032867432,0.028159382094977484
5.300000000000001,1.3657045364379883,0.028212242304168758
5.4,1.3912794589996338,0.028262515767574867
5.5,1.4174280166625977,0.028310324801657558
5.6000000000000005,1.4430179595947266,0.028355786045006364
5.7,1.46553373336792,0.02839901075903803
5.800000000000001,1.4890546798706055,0.028440105102249764
5.9,1.5120875835418701,0.028479170381895246
6.0,1.535607099533081,0.028516303286315877
6.1000000000000005,1.5591297149658203,0.028551596100623005
6.2,1.5826458930969238,0.028585136907974488
6.300000000000001,1.6066808700561523,0.02861700977830903
6.4,1.6301991939544678,0.028647294946084353
6.5,1.6547224521636963,0.02867606897829967
6.6000000000000005,1.6782400608062744,0.028703404933862846
6.7,1.7027554512023926,0.028729372515180235
6.800000000000001,1.725776195526123,0.028754038212695995
6.9,1.7497811317443848,0.028777465442984686
7.0,1.7738022804260254,0.028799714680899025
7.1000000000000005,1.7983083724975586,0.02882084354815089
7.2,1.8218252658843994,0.02884090694746113
7.300000000000001,1.8453490734100342,0.028859957353758514
7.4,1.8698647022247314,0.028878044705787746
7.5,1.8933906555175781,0.0288952165789833
7.6000000000000005,1.9174258708953857,0.028911518289902658
7.7,1.940950632095337,0.028926992997723618
7.800000000000001,1.9654676914215088,0.028941681800767158
7.9,1.9889919757843018,0.028955623828778018
8.0,2.0130250453948975,0.028968856331377926
8.1,2.0375442504882812,0.02898141476288944
8.200000000000001,2.061065435409546,0.02899333286369442
8.3,2.0845909118652344,0.029004642738270844
8.4,2.1086232662200928,0.02901537493003538
8.5,2.132141351699829,0.029025558493107333
8.6,2.155665397644043,0.02903522106110181
8.700000000000001,2.180173873901367,0.02904438891305439
8.8,2.2036874294281006,0.029053087036575588
8.9,2.2267098426818848,0.02906133918833046
9.0,2.2507166862487793,0.02906916795193626
9.1,2.2747511863708496,0.029076594793368687
9.200000000000001,2.2982676029205322,0.02908364011396556
9.3,2.322791814804077,0.029090323301114645
9.4,2.346316337585449,0.02909666277671051
9.5,2.3708345890045166,0.029102676043463456
9.600000000000001,2.395359516143799,0.02910837972914166
9.700000000000001,2.419900894165039,0.029113789628825673
9.8,2.4439167976379395,0.02911892074525256
9.9,2.467951774597168,0.029123787327324867
10.0,2.4919593334198,0.02912840290685758
